DISTRIBUCIÓN CONJUNTA
Número de variables: 25
Número de configuraciones: 33554432
------------------------------------------------------------
Distribución demasiado grande para mostrar completa (33554432 configuraciones).
Mostrando solo las primeras y últimas 5 configuraciones:

X1 X2 X3 X4 X5 X6 X7 X8 X9 X10 X11 X12 X13 X14 X15 X16 X17 X18 X19 X20 X21 X22 X23 X24 X25 | Probabilidad
------------------------------------------------------------
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  | 0.000000
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  | 0.000000
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  | 0.000000
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  | 0.000000
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  | 0.000000
... (33554422 configuraciones omitidas) ...
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0  1  1  | 0.000000
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0  0  | 0.000000
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0  1  | 0.000000
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0  | 0.000000
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  | 0.000000

 DISTRIBUCIÓN CONDICIONAL 
Variables condicionadas (X_C): X1=0, X2=1, X3=0, X4=0, X5=1, X6=1, X7=1, X8=0, X9=0
Variables de interés (X_I): X10, X11, X12, X13, X14, X15, X16, X17, X18, X19

Probabilidades condicionales P(X_I | X_C):
------------------------------------------------------------
X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	| Probabilidad
------------------------------------------------------------
0	0	0	0	0	0	0	0	0	0	| 0.000953
0	0	0	0	0	0	0	0	0	1	| 0.000868
0	0	0	0	0	0	0	0	1	0	| 0.001040
0	0	0	0	0	0	0	0	1	1	| 0.001068
0	0	0	0	0	0	0	1	0	0	| 0.001325
0	0	0	0	0	0	0	1	0	1	| 0.001126
0	0	0	0	0	0	0	1	1	0	| 0.001075
0	0	0	0	0	0	0	1	1	1	| 0.000889
0	0	0	0	0	0	1	0	0	0	| 0.000904
0	0	0	0	0	0	1	0	0	1	| 0.000964
0	0	0	0	0	0	1	0	1	0	| 0.001023
0	0	0	0	0	0	1	0	1	1	| 0.001059
0	0	0	0	0	0	1	1	0	0	| 0.000950
0	0	0	0	0	0	1	1	0	1	| 0.001109
0	0	0	0	0	0	1	1	1	0	| 0.001078
0	0	0	0	0	0	1	1	1	1	| 0.001078
0	0	0	0	0	1	0	0	0	0	| 0.000855
0	0	0	0	0	1	0	0	0	1	| 0.001061
0	0	0	0	0	1	0	0	1	0	| 0.001009
0	0	0	0	0	1	0	0	1	1	| 0.000922
0	0	0	0	0	1	0	1	0	0	| 0.001002
0	0	0	0	0	1	0	1	0	1	| 0.000976
0	0	0	0	0	1	0	1	1	0	| 0.000988
