0000000000,0.00035
0000000001,0.00068
0000000010,0.00092
0000000011,0.00115
0000000100,0.00054
0000000101,0.00077
0000000110,0.00102
0000000111,0.00124
0000001000,0.00061
0000001001,0.00083
0000001010,0.00108
0000001011,0.00131
0000001100,0.00072
0000001101,0.00095
0000001110,0.00119
0000001111,0.00142
0000010000,0.00058
0000010001,0.00081
0000010010,0.00105
0000010011,0.00128
0000010100,0.00066
0000010101,0.00089
0000010110,0.00113
0000010111,0.00136
0000011000,0.00074
0000011001,0.00097
0000011010,0.00121
0000011011,0.00144
0000011100,0.00079
0000011101,0.00103
0000011110,0.00127
0000011111,0.00150
0000100000,0.00063
0000100001,0.00086
0000100010,0.00110
0000100011,0.00133
0000100100,0.00071
0000100101,0.00094
0000100110,0.00118
0000100111,0.00141
0000101000,0.00078
0000101001,0.00101
0000101010,0.00125
0000101011,0.00148
0000101100,0.00085
0000101101,0.00108
0000101110,0.00132
0000101111,0.00155
0000110000,0.00091
0000110001,0.00114
0000110010,0.00138
0000110011,0.00161
0000110100,0.00098
0000110101,0.00121
0000110110,0.00145
0000110111,0.00168
0000111000,0.00105
0000111001,0.00128
0000111010,0.00152
0000111011,0.00175
0000111100,0.00112
0000111101,0.00135
0000111110,0.00159
0000111111,0.00182
0001000000,0.00067
0001000001,0.00090
0001000010,0.00114
0001000011,0.00137
0001000100,0.00075
0001000101,0.00098
0001000110,0.00122
0001000111,0.00145
0001001000,0.00082
0001001001,0.00105
0001001010,0.00129
0001001011,0.00152
0001001100,0.00089
0001001101,0.00112
0001001110,0.00136
0001001111,0.00159
0001010000,0.00096
0001010001,0.00119
0001010010,0.00143
0001010011,0.00166
0001010100,0.00103
0001010101,0.00126
0001010110,0.00150
0001010111,0.00173
0001011000,0.00110
0001011001,0.00133
0001011010,0.00157
0001011011,0.00180
0001011100,0.00117
0001011101,0.00140
0001011110,0.00164
0001011111,0.00187
0001100000,0.00124
0001100001,0.00147
0001100010,0.00171
0001100011,0.00194
0001100100,0.00131
0001100101,0.00154
0001100110,0.00178
0001100111,0.00201
0001101000,0.00138
0001101001,0.00161
0001101010,0.00185
0001101011,0.00208
0001101100,0.00145
0001101101,0.00168
0001101110,0.00192
0001101111,0.00215
0001110000,0.00152
0001110001,0.00175
0001110010,0.00199
0001110011,0.00222
0001110100,0.00159
0001110101,0.00182
0001110110,0.00206
0001110111,0.00229
0001111000,0.00166
0001111001,0.00189
0001111010,0.00213
0001111011,0.00236
0001111100,0.00173
0001111101,0.00196
0001111110,0.00220
0001111111,0.00243
0010000000,0.00070
0010000001,0.00093
0010000010,0.00117
0010000011,0.00140
0010000100,0.00078
0010000101,0.00101
0010000110,0.00125
0010000111,0.00148
0010001000,0.00085
0010001001,0.00108
